name,memo
相川千夏,北海道出身。11月11日生まれの23歳。身長は161cmで体重は43kg、スリーサイズは上から82・56・85。B型右利きで趣味はｶﾌｪで読書。
愛野渚,愛知出身。8月1日生まれの18歳。身長は163cmで体重は47kg、スリーサイズは上から84・58・85。A型右利きで趣味はﾊﾞｽｹｯﾄﾎﾞｰﾙ。
相原雪乃,秋田出身。2月14日生まれの22歳。身長は160cmで体重は51kg、スリーサイズは上から92・58・90。A型左利きで趣味は紅茶。
相葉夕美,神奈川出身。4月15日生まれの18歳。身長は158cmで体重は42kg、スリーサイズは上から81・57・80。O型右利きで趣味はｶﾞｰﾃﾞﾆﾝｸﾞ。
赤城みりあ,東京出身。4月14日生まれの11歳。身長は140cmで体重は36kg、スリーサイズは上から75・55・78。AB型左利きで趣味はおしゃべり。
赤西瑛梨華,岡山出身。7月7日生まれの16歳。身長は154cmで体重は55kg、スリーサイズは上から92・59・88。O型両利きで趣味は漫才鑑賞。
浅野風香,滋賀出身。2月11日生まれの16歳。身長は160cmで体重は48kg、スリーサイズは上から88・59・84。A型右利きで趣味は小説を書くこと。
浅利七海,青森出身。10月9日生まれの14歳。身長は151cmで体重は41kg、スリーサイズは上から78・55・77。A型右利きで趣味は釣り・絵日記。
ｱﾅｽﾀｼｱ,北海道出身。9月19日生まれの15歳。身長は165cmで体重は43kg、スリーサイズは上から80・54・80。O型両利きで趣味はﾎｰﾑﾊﾟｰﾃｨ･天体観測。
安部菜々,ｳｻﾐﾝ星出身。5月15日生まれの永遠の17歳。身長は146cmで体重は40kg、スリーサイズは上から84・57・84。O型右利きで趣味はｳｻﾐﾝ星との交信。
綾瀬穂乃香,宮城出身。5月29日生まれの17歳。身長は161cmで体重は46kg、スリーサイズは上から85・57・84。A型右利きで趣味はﾊﾞﾚｴ。
荒木比奈,神奈川出身。4月9日生まれの20歳。身長は157cmで体重は43kg、スリーサイズは上から83・57・82。A型右利きで趣味は漫画描く。
